subj.id,focal.id,date,right.hand,left.hand,both.hands,total
Quindoline,454,2024.08.18,91,0,0,91
Quindoline,495,2024.08.23,96,0,0,96
Quindoline,521,2024.08.29,46,0,0,46
Quindoline,625,2024.10.21,65,0,0,65
Quindoline,645,2024.10.25,2,0,0,2
Quindoline,662,2024.10.28,12,0,0,12
Quindoline,811,2024.11.22,27,0,0,27
Quindoline,829,2024.11.26,29,0,0,29
Quindoline,874,2024.07.12,24,0,0,24
Quindoline,890,2024.09.12,98,0,0,98
Quindoline,899,2024.11.12,38,0,0,38
Quindoline,1071,2025.01.16,40,0,0,40
Quindoline,1098,2025.01.17,15,0,0,15
Quindoline,1122,2025.01.26,74,0,0,74
Quindoline,1216,2025.02.21,38,0,0,38
Quindoline,1273,2025.05.03,79,0,0,79
Rambo,99,2024.04.19,0,3,0,3
Robin,21,2024.04.04,0,49,0,49
Robin,45,2024.12.04,0,9,0,9
Robin,83,2024.04.18,0,35,0,35
Robin,176,2024.05.20,0,74,0,74
Robin,245,2024.10.06,0,57,0,57
Robin,266,2024.06.14,0,10,0,10
Robin,331,2024.06.29,0,19,0,19
Robin,379,2024.06.08,0,1,0,1
Robin,388,2024.07.08,0,7,0,7
Robin,416,2024.11.08,0,38,0,38
Robin,505,2024.08.27,0,48,0,48
Robin,558,2024.04.09,0,1,0,1
Robin,598,2024.10.09,0,16,0,16
Robin,615,2024.10.20,0,32,0,32
Robin,626,2024.10.23,0,43,0,43
Robin,658,2024.10.28,0,12,0,12
Robin,707,2024.02.11,0,5,0,5
Robin,770,2024.11.18,0,1,0,1
Robin,821,2024.11.24,0,19,0,19
Robin,848,2024.11.30,0,17,0,17
Robin,949,2024.12.18,0,41,0,41
Robin,964,2024.12.22,0,57,0,57
Robin,1142,2025.01.30,0,17,0,17
Santa,124,2024.05.13,0,14,0,14
Santa,160,2024.05.17,0,69,0,69
Santa,185,2024.05.23,0,58,0,58
Santa,280,2024.06.17,0,48,0,48
Santa,310,2024.06.22,0,10,0,10
Santa,368,2024.01.08,0,47,0,47
Santa,386,2024.06.08,0,65,0,65
Santa,461,2024.08.19,0,35,0,35
Santa,468,2024.08.22,0,45,0,45
Santa,655,2024.10.26,0,1,0,1
Santa,676,2024.10.29,0,10,0,10
Santa,887,2024.09.12,0,57,0,57
Santa,954,2024.12.20,0,20,0,20
Santa,1072,2025.01.16,0,8,0,8
Santa,1165,2025.03.02,0,11,0,11
Santa,1217,2025.02.21,0,1,0,1
Santa,1223,2025.02.22,0,13,0,13
Santa,1258,2025.01.03,0,4,0,4
Santa,1366,2025.03.27,0,16,0,16
Taipan,25,2024.04.04,45,0,0,45
Taipan,123,2024.10.05,84,0,0,84
Taipan,134,2024.05.13,42,0,0,42
Taipan,170,2024.05.20,59,0,0,59
Taipan,189,2024.05.26,110,0,0,110
Taipan,235,2024.10.06,67,0,0,67
Taipan,260,2024.12.06,50,0,0,50
Taipan,357,2024.07.23,10,0,0,10
Taipan,363,2024.01.08,19,0,0,19
Taipan,396,2024.07.08,43,0,0,43
Taipan,485,2024.08.23,36,0,0,36
Taipan,588,2024.07.09,71,0,0,71
Taipan,804,2024.11.21,29,0,0,29
Taipan,984,2025.02.01,32,0,0,32
Taipan,1024,2025.07.01,95,0,0,95
Ted,19,2024.04.04,7,0,0,7
Ted,70,2024.04.17,18,0,0,18
Ted,145,2024.05.16,4,0,0,4
Ted,240,2024.10.06,29,0,0,29
Ted,462,2024.08.19,45,0,0,45
Ted,689,2024.10.30,9,0,0,9
Ted,817,2024.11.24,4,0,0,4
Ted,1084,2025.01.16,19,0,0,19
Ted,1120,2025.01.25,32,0,0,32
Ted,1144,2025.01.30,49,0,0,49
Ted,1230,2025.02.22,4,0,0,4
Ted,1260,2025.01.03,1,0,0,1
Ted,1288,2025.07.03,3,0,0,3
Tin_tin,81,2024.04.18,1,0,0,1
Tin_tin,150,2024.05.16,32,0,0,32
Tin_tin,869,2024.07.12,8,0,0,8
Tutu,93,2024.04.19,15,0,0,15
Tutu,275,2024.06.15,83,1,0,84
Tutu,301,2024.06.19,74,0,0,74
Tutu,1009,2025.05.01,1,0,0,1
Tutu,1083,2025.01.16,4,0,0,4
Tutu,1104,2025.01.20,27,0,0,27
Tutu,1134,2025.01.27,35,0,0,35
Tutu,1295,2025.09.03,65,2,0,67
Tutu,1324,2025.03.15,52,0,0,52
Vula,146,2024.05.16,0,45,0,45
Vula,238,2024.10.06,0,128,0,128
Vula,265,2024.06.14,0,12,0,12
Vula,278,2024.06.17,0,66,0,66
Vula,305,2024.06.21,0,34,0,34
Vula,326,2024.06.26,0,88,0,88
Vula,353,2024.07.23,0,40,0,40
Vula,401,2024.10.08,0,86,0,86
Vula,425,2024.12.08,0,82,0,82
Vula,445,2024.08.16,0,111,0,111
Vula,452,2024.08.18,0,89,0,89
Vula,487,2024.08.23,0,92,0,92
Vula,503,2024.08.27,0,25,0,25
Vula,517,2024.08.29,0,35,0,35
Vula,533,2024.08.30,0,46,0,46
Vula,640,2024.10.25,0,87,0,87
Vula,663,2024.10.28,0,49,0,49
Vula,797,2024.11.21,0,30,0,30
Vula,898,2024.11.12,0,69,0,69
Vula,910,2024.12.13,0,89,0,89
Vula,986,2025.02.01,0,3,0,3
Vula,1010,2025.05.01,0,6,0,6
Vula,1055,2025.12.01,0,84,0,84
Vula,1123,2025.01.26,0,39,0,39
Vula,1220,2025.02.22,0,55,0,55
Vula,1368,2025.03.27,0,2,0,2
Whitney,11,2024.03.31,37,0,0,37
Whitney,46,2024.12.04,3,0,0,3
Whitney,88,2024.04.18,24,0,0,24
Whitney,148,2024.05.16,57,0,0,57
Whitney,172,2024.05.20,70,0,0,70
Whitney,273,2024.06.15,62,0,0,62
Whitney,287,2024.06.17,62,0,0,62
Whitney,300,2024.06.19,54,5,0,59
Whitney,313,2024.06.22,66,0,0,66
Whitney,333,2024.01.07,50,0,0,50
Whitney,350,2024.07.21,33,0,0,33
Whitney,418,2024.11.08,16,0,0,16
Whitney,433,2024.08.13,95,0,0,95
Whitney,447,2024.08.16,46,0,0,46
Whitney,486,2024.08.23,5,0,0,5
Whitney,584,2024.06.09,18,0,0,18
Whitney,648,2024.10.25,38,0,0,38
Whitney,710,2024.04.11,4,0,0,4
Whitney,740,2024.12.11,88,0,0,88
Whitney,819,2024.11.24,20,0,0,20
Whitney,866,2024.07.12,2,0,0,2
Whitney,994,2025.03.01,59,0,0,59
Whitney,1026,2025.07.01,37,0,0,37
Whitney,1087,2025.01.17,59,0,0,59
Whitney,1115,2025.01.25,5,0,0,5
Whitney,1296,2025.09.03,13,0,0,13
Whitney,1348,2025.03.23,39,0,0,39
Whitney,1362,2025.03.26,25,0,0,25
Yaiko,38,2024.08.04,57,0,0,57
Yaiko,58,2024.12.04,71,0,0,71
Yaiko,69,2024.04.17,46,0,0,46
Yaiko,175,2024.05.20,81,0,0,81
Yaiko,272,2024.06.15,24,0,0,24
Yaiko,292,2024.06.18,64,0,0,64
Yaiko,369,2024.01.08,43,0,0,43
Yaiko,378,2024.06.08,39,0,0,39
Yaiko,400,2024.10.08,51,0,0,51
Yaiko,434,2024.08.13,52,0,0,52
Yaiko,450,2024.08.18,59,0,0,59
Yaiko,523,2024.08.29,7,0,0,7
Yaiko,555,2024.04.09,44,0,0,44
Yaiko,589,2024.07.09,30,0,0,30
Yaiko,652,2024.10.26,11,0,0,11
Yaiko,660,2024.10.28,1,0,0,1
Yaiko,690,2024.10.30,2,0,0,2
Yaiko,721,2024.04.11,8,0,0,8
Yaiko,799,2024.11.21,28,0,0,28
Yaiko,807,2024.11.22,4,0,0,4
Yaiko,939,2024.12.18,0,2,0,2
Yaiko,977,2024.12.30,43,0,0,43
Yaiko,1202,2025.02.17,23,0,0,23
Yaiko,1225,2025.02.22,1,0,0,1
Yaiko,1246,2025.02.25,33,0,0,33
Yaiko,1352,2025.03.24,9,0,0,9
Yaiko,1370,2025.03.27,14,0,0,14
