subj.id,focal.id.old,uni.id,date,time,gutt.score,right.hand,left.hand,both.hands,total
Iyla,415,354,2024.10.08,NA,0.8,25,0,0,25
Naina,414,355,2024.10.08,NA,0.8,0,2,0,2
Pinky,398,356,2024.10.08,NA,0.8,39,0,0,39
Quindoline,405,357,2024.10.08,NA,0.8,5,0,0,5
Vula,401,358,2024.10.08,NA,0.8,0,86,0,86
Yaiko,400,359,2024.10.08,NA,0.8,51,0,0,51
Aura,595,360,2024.10.09,NA,0.8,18,0,0,18
Granny,608,361,2024.10.09,NA,0.8,0,50,0,50
Iyla,596,362,2024.10.09,NA,0.8,13,0,0,13
Jim_lim,609,363,2024.10.09,NA,0.8,0,17,0,17
Kaya,599,364,2024.10.09,NA,0.8,0,2,0,2
Naina,592,365,2024.10.09,NA,0.8,0,1,0,1
Oreo,594,366,2024.10.09,NA,0.8,0,15,0,15
Pinky,593,367,2024.10.09,NA,0.8,70,0,0,70
Robin,598,368,2024.10.09,NA,0.8,0,16,0,16
Babosa,610,369,2024.10.19,NA,0.8,8,5,10,23
Granny,613,370,2024.10.19,NA,0.8,0,55,0,55
Jim_lim,611,371,2024.10.19,NA,0.8,0,53,0,53
Oreo,612,372,2024.10.19,NA,0.8,0,38,0,38
Robin,615,373,2024.10.20,NA,0.8,0,32,0,32
Aura,617,374,2024.10.21,NA,0.8,1,0,0,1
Aura,617,375,2024.10.21,NA,0.2,1,0,0,1
Cacao,618,376,2024.10.21,NA,0.8,13,0,0,13
Dandi,616,377,2024.10.21,NA,0.8,0,6,0,6
Dandi,616,378,2024.10.21,NA,0.2,0,2,0,2
Granny,NA,379,2024.10.21,NA,0.6,0,1,0,1
Jim_lim,620,380,2024.10.21,NA,0.8,0,6,0,6
Quindoline,625,381,2024.10.21,NA,0.8,65,0,0,65
Aura,629,382,2024.10.23,NA,0.8,31,0,0,31
Aura,629,383,2024.10.23,NA,0.2,2,0,0,2
Granny,630,384,2024.10.23,NA,0.8,0,32,0,32
Granny,630,385,2024.10.23,NA,0.2,0,9,0,9
Granny,NA,386,2024.10.23,NA,0.6,0,1,0,1
Granny,NA,387,2024.10.23,NA,0.6,0,1,0,1
Granny,NA,388,2024.10.23,NA,0.6,0,1,0,1
Iyla,627,389,2024.10.23,NA,0.8,46,0,0,46
Iyla,627,390,2024.10.23,NA,0.2,3,0,0,3
Jim_lim,628,391,2024.10.23,NA,0.8,0,31,0,31
Jim_lim,628,392,2024.10.23,NA,0.2,0,1,0,1
Jim_lim,628,393,2024.10.23,NA,0.4,0,1,0,1
Kaya,631,394,2024.10.23,NA,0.8,0,4,0,4
Naina,NA,395,2024.10.23,NA,0.6,0,1,0,1
Oreo,NA,396,2024.10.23,NA,0.6,0,1,0,1
Pinky,NA,397,2024.10.23,NA,0.6,1,0,0,1
Robin,626,398,2024.10.23,NA,0.8,0,43,0,43
Ted,NA,399,2024.10.23,NA,0.6,1,0,0,1
Betina,642,400,2024.10.25,NA,0.8,0,7,0,7
Cacao,647,401,2024.10.25,NA,0.8,34,0,0,34
Granny,641,402,2024.10.25,NA,0.8,0,26,0,26
Granny,641,403,2024.10.25,NA,0.2,0,1,0,1
Jim_lim,649,404,2024.10.25,NA,0.8,0,1,0,1
Lip,644,405,2024.10.25,NA,0.8,0,69,0,69
Pat,643,406,2024.10.25,NA,0.8,31,0,0,31
Pinky,639,407,2024.10.25,NA,0.8,14,0,0,14
Quindoline,645,408,2024.10.25,NA,0.8,2,0,0,2
Vula,640,409,2024.10.25,NA,0.8,0,87,0,87
Whitney,648,410,2024.10.25,NA,0.8,38,0,0,38
Bat,653,411,2024.10.26,11:29:44,0.6,2,0,0,2
Bat,653,412,2024.10.26,NA,0.8,19,0,0,19
Dandi,651,413,2024.10.26,NA,0.8,0,11,0,11
Dandi,651,414,2024.10.26,NA,0.2,0,2,0,2
Granny,657,415,2024.10.26,NA,0.8,0,12,0,12
Iyla,NA,416,2024.10.26,NA,0.6,1,0,0,1
Naina,NA,417,2024.10.26,NA,0.6,0,1,0,1
Santa,655,418,2024.10.26,NA,0.8,0,1,0,1
Yaiko,652,419,2024.10.26,NA,0.8,11,0,0,11
Pinky,665,420,2024.10.28,16:01:26,0.6,1,0,0,1
Dandi,667,421,2024.10.28,16:45:15,0.6,0,2,0,2
Aura,659,422,2024.10.28,NA,0.8,11,0,0,11
Babosa,664,423,2024.10.28,NA,0.8,5,3,27,35
Dandi,667,424,2024.10.28,NA,0.8,0,1,0,1
Kaya,661,425,2024.10.28,NA,0.8,0,31,0,31
