uni.id,focal.id.old,date,time,subj.id,gutt.score,behavior,success,right.hand,left.hand,both.hands,total,species,comments
66,899,2024.11.12,,Quindoline,0.2,food.pounding,Y,1,0,0,3,clam,
67,916,2024.12.15,,Aura,0.2,food.pounding,Y,1,0,0,7,clam,
67,916,2024.12.15,,Aura,0.2,food.pounding,Y,1,0,0,7,clam,
67,916,2024.12.15,,Aura,0.2,food.pounding,Y,1,0,0,7,clam,
67,916,2024.12.15,,Aura,0.2,food.pounding,Y,1,0,0,7,clam,
67,916,2024.12.15,,Aura,0.2,food.pounding,Y,1,0,0,7,clam,
67,916,2024.12.15,,Aura,0.2,food.pounding,Y,1,0,0,7,clam,
67,916,2024.12.15,,Aura,0.2,food.pounding,Y,1,0,0,7,clam,
68,937,2024.12.16,,Kaya,0.2,food.pounding,Y,0,1,0,3,clam,
68,937,2024.12.16,,Kaya,0.2,food.pounding,Y,0,1,0,3,clam,
68,937,2024.12.16,,Kaya,0.2,food.pounding,Y,0,1,0,3,clam,
69,938,2024.12.18,,Flame,0.2,food.pounding,Y,0,1,0,1,clam,
70,949,2024.12.18,,Robin,0.2,food.pounding,Y,0,1,0,1,clam,
71,951,2024.12.19,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
71,951,2024.12.19,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
71,951,2024.12.19,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
71,951,2024.12.19,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
72,952,2024.12.19,,Flame,0.2,food.pounding,Y,0,1,0,1,clam,
73,955,2024.12.20,,Granny,0.2,food.pounding,Y,0,1,0,2,clam,
73,955,2024.12.20,,Granny,0.2,food.pounding,Y,0,1,0,2,clam,
74,966,2024.12.22,,Pinky,0.2,food.pounding,Y,1,0,0,3,clam,
74,966,2024.12.22,,Pinky,0.2,food.pounding,Y,1,0,0,3,clam,
74,966,2024.12.22,,Pinky,0.2,food.pounding,Y,1,0,0,3,clam,
75,971,2024.12.29,,Quindoline,0.2,food.pounding,Y,0,1,0,1,clam,
76,977,2024.12.30,,Yaiko,0.2,food.pounding,Y,1,0,0,1,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
77,980,2025.01.01,,Whitney,0.2,food.pounding,Y,1,0,0,14,clam,
78,981,2025.01.01,,Iyla,0.2,food.pounding,Y,1,0,0,5,clam,
78,981,2025.01.01,,Iyla,0.2,food.pounding,Y,1,0,0,5,clam,
78,981,2025.01.01,,Iyla,0.2,food.pounding,Y,1,0,0,5,clam,
78,981,2025.01.01,,Iyla,0.2,food.pounding,Y,1,0,0,5,clam,
78,981,2025.01.01,,Iyla,0.2,food.pounding,Y,1,0,0,5,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
79,992,2025.02.01,,Belanda,0.2,food.pounding,Y,1,0,0,11,clam,
80,997,2025.03.01,,Pat,0.2,food.pounding,Y,1,0,0,1,clam,
81,1002,2025.05.01,,Oreo,0.2,food.pounding,Y,0,1,0,1,clam,
82,1003,2025.05.01,,Quindoline,0.2,food.pounding,Y,1,0,0,1,clam,
83,1008,2025.05.01,,Pinky,0.2,food.pounding,Y,1,0,0,2,clam,
83,1008,2025.05.01,,Pinky,0.2,food.pounding,Y,1,0,0,2,clam,
84,1030,2025.08.01,,Ted,0.2,food.pounding,Y,0,1,0,1,clam,
85,1031,2025.08.01,,Babosa,0.2,food.pounding,Y,1,0,0,1,clam,
86,1041,2025.11.01,,Granny,0.2,food.pounding,Y,0,1,0,1,clam,
87,1043,2025.11.01,,Belanda,0.2,food.pounding,Y,1,0,0,1,clam,
88,1071,2025.01.16,,Quindoline,0.2,food.pounding,Y,0,1,0,4,clam,
88,1071,2025.01.16,,Quindoline,0.2,food.pounding,Y,0,1,0,4,clam,
88,1071,2025.01.16,,Quindoline,0.2,food.pounding,Y,0,1,0,4,clam,
88,1071,2025.01.16,,Quindoline,0.2,food.pounding,Y,0,1,0,4,clam,
89,1083,2025.01.16,,Tutu,0.2,food.pounding,Y,1,0,0,3,clam,
89,1083,2025.01.16,,Tutu,0.2,food.pounding,Y,1,0,0,3,clam,
89,1083,2025.01.16,,Tutu,0.2,food.pounding,Y,1,0,0,3,clam,
90,1086,2025.01.17,,Robin,0.2,food.pounding,Y,0,1,0,1,clam,
91,1098,2025.01.17,,Quindoline,0.2,food.pounding,Y,0,1,0,3,clam,
91,1098,2025.01.17,,Quindoline,0.2,food.pounding,Y,0,1,0,3,clam,
91,1098,2025.01.17,,Quindoline,0.2,food.pounding,Y,0,1,0,3,clam,
92,1103,2025.01.20,,Flame,0.2,food.pounding,Y,0,1,0,1,clam,
93,1104,2025.01.20,,Tutu,0.2,food.pounding,Y,1,0,0,1,clam,
94,1114,2025.01.25,,Babosa,0.2,food.pounding,Y,0,1,0,1,clam,
95,1158,2025.02.02,,Lip,0.2,food.pounding,Y,0,1,0,1,clam,
96,1223,2025.02.22,,Santa,0.2,food.pounding,Y,0,1,0,2,clam,
96,1223,2025.02.22,,Santa,0.2,food.pounding,Y,0,1,0,2,clam,
97,1246,2025.02.25,,Yaiko,0.2,food.pounding,Y,1,0,0,2,clam,
