subj.id,focal.id.old,date,time,gutt.score,right.hand,left.hand,both.hands,total,comments
Whitney,418,2024.11.08,,0.8,16,0,0,16,
Oreo,419,2024.11.08,,0.8,0,68,0,68,
Flame,420,2024.11.08,,0.8,0,11,0,11,
Pinky,421,2024.12.08,,0.8,54,0,0,54,
Granny,422,2024.12.08,,0.8,0,42,0,42,
Jim_lim,423,2024.12.08,,0.8,0,4,0,4,
Cacao,424,2024.12.08,,0.8,62,0,0,62,
Vula,425,2024.12.08,,0.8,0,82,0,82,
Kaya,426,2024.12.08,,0.8,0,4,0,4,
Lip,427,2024.12.08,,0.8,0,104,0,104,
Whitney,433,2024.08.13,,0.8,95,0,0,95,
Yaiko,434,2024.08.13,,0.8,52,0,0,52,
Naina,435,2024.08.13,,0.8,0,4,0,4,
Kaya,436,2024.08.15,,0.8,0,56,0,56,
Pinky,437,2024.08.15,,0.8,2,0,0,2,
Granny,438,2024.08.15,,0.8,0,3,0,3,
Jim_lim,439,2024.08.16,,0.8,0,48,0,48,
Betina,440,2024.08.16,,0.8,0,9,0,9,
Lip,441,2024.08.16,,0.8,0,98,0,98,
Kaya,442,2024.08.16,,0.8,0,78,0,78,
Aura,443,2024.08.16,,0.8,3,0,0,3,
Vula,445,2024.08.16,,0.8,0,111,0,111,
Quindoline,446,2024.08.16,,0.8,56,0,0,56,
Whitney,447,2024.08.16,,0.8,46,0,0,46,
Granny,448,2024.08.18,,0.8,0,19,0,19,
Lip,449,2024.08.18,,0.8,0,98,0,98,
Yaiko,450,2024.08.18,,0.8,59,0,0,59,
Aura,451,2024.08.18,,0.8,31,0,0,31,
Vula,452,2024.08.18,,0.8,0,89,0,89,
Naina,453,2024.08.18,,0.8,0,66,0,66,
Quindoline,454,2024.08.18,,0.8,91,0,0,91,
Kaya,455,2024.08.18,,0.8,0,13,0,13,
Flame,456,2024.08.18,,0.8,0,35,0,35,
Jim_lim,457,2024.08.18,,0.8,0,4,0,4,
Pinky,458,2024.08.19,,0.8,59,0,0,59,
Cacao,459,2024.08.19,,0.8,67,0,0,67,
Granny,460,2024.08.19,,0.8,0,74,0,74,
Santa,461,2024.08.19,,0.8,0,35,0,35,
